venta_id,timestamp,timestamp_iso,producto_id,producto,cantidad,precio_unitario,total
11748,2026-04-18 00:00:14+00:00,2026-04-18T00:00:14Z,P008,Jugo,1,2.9,2.9
12125,2026-04-18 00:00:33+00:00,2026-04-18T00:00:33Z,P005,Arroz,1,2.1,2.1
3054,2026-04-18 00:00:36+00:00,2026-04-18T00:00:36Z,P001,Café,3,2.5,7.5
13525,2026-04-18 00:00:41+00:00,2026-04-18T00:00:41Z,P005,Arroz,1,2.1,2.1
3112,2026-04-18 00:00:47+00:00,2026-04-18T00:00:47Z,P006,Queso,3,4.5,13.5
18243,2026-04-18 00:01:00+00:00,2026-04-18T00:01:00Z,P005,Arroz,1,2.1,2.1
1231,2026-04-18 00:01:29+00:00,2026-04-18T00:01:29Z,P002,Pan,2,1.2,2.4
7103,2026-04-18 00:01:37+00:00,2026-04-18T00:01:37Z,P008,Jugo,3,2.9,8.7
4001,2026-04-18 00:01:38+00:00,2026-04-18T00:01:38Z,P005,Arroz,3,2.1,6.3
17678,2026-04-18 00:01:42+00:00,2026-04-18T00:01:42Z,P002,Pan,1,1.2,1.2
16196,2026-04-18 00:01:57+00:00,2026-04-18T00:01:57Z,P005,Arroz,2,2.1,4.2
8073,2026-04-18 00:02:30+00:00,2026-04-18T00:02:30Z,P004,Huevos,1,3.9,3.9
4152,2026-04-18 00:02:34+00:00,2026-04-18T00:02:34Z,P006,Queso,3,4.5,13.5
11236,2026-04-18 00:02:38+00:00,2026-04-18T00:02:38Z,P001,Café,2,2.5,5.0
9387,2026-04-18 00:03:00+00:00,2026-04-18T00:03:00Z,P001,Café,3,2.5,7.5
9945,2026-04-18 00:03:08+00:00,2026-04-18T00:03:08Z,P004,Huevos,1,3.9,3.9
14193,2026-04-18 00:03:12+00:00,2026-04-18T00:03:12Z,P004,Huevos,3,3.9,11.7
19750,2026-04-18 00:03:16+00:00,2026-04-18T00:03:16Z,P003,Leche,1,1.8,1.8
19823,2026-04-18 00:03:42+00:00,2026-04-18T00:03:42Z,P006,Queso,2,4.5,9.0
14920,2026-04-18 00:03:53+00:00,2026-04-18T00:03:53Z,P001,Café,1,2.5,2.5
11401,2026-04-18 00:03:53+00:00,2026-04-18T00:03:53Z,P004,Huevos,1,3.9,3.9
14361,2026-04-18 00:03:59+00:00,2026-04-18T00:03:59Z,P006,Queso,2,4.5,9.0
9513,2026-04-18 00:04:13+00:00,2026-04-18T00:04:13Z,P007,Galletas,1,1.6,1.6
6669,2026-04-18 00:04:28+00:00,2026-04-18T00:04:28Z,P008,Jugo,4,2.9,11.6
13261,2026-04-18 00:04:34+00:00,2026-04-18T00:04:34Z,P002,Pan,4,1.2,4.8
11642,2026-04-18 00:04:35+00:00,2026-04-18T00:04:35Z,P003,Leche,1,1.8,1.8
4072,2026-04-18 00:04:44+00:00,2026-04-18T00:04:44Z,P007,Galletas,1,1.6,1.6
17766,2026-04-18 00:05:07+00:00,2026-04-18T00:05:07Z,P001,Café,2,2.5,5.0
13951,2026-04-18 00:05:08+00:00,2026-04-18T00:05:08Z,P006,Queso,1,4.5,4.5
10638,2026-04-18 00:05:23+00:00,2026-04-18T00:05:23Z,P008,Jugo,1,2.9,2.9
17245,2026-04-18 00:06:03+00:00,2026-04-18T00:06:03Z,P003,Leche,1,1.8,1.8
6602,2026-04-18 00:06:09+00:00,2026-04-18T00:06:09Z,P005,Arroz,2,2.1,4.2
16764,2026-04-18 00:06:19+00:00,2026-04-18T00:06:19Z,P006,Queso,1,4.5,4.5
413,2026-04-18 00:06:27+00:00,2026-04-18T00:06:27Z,P003,Leche,3,1.8,5.4
8270,2026-04-18 00:06:41+00:00,2026-04-18T00:06:41Z,P002,Pan,4,1.2,4.8
11273,2026-04-18 00:07:35+00:00,2026-04-18T00:07:35Z,P007,Galletas,3,1.6,4.8
9003,2026-04-18 00:07:35+00:00,2026-04-18T00:07:35Z,P006,Queso,2,4.5,9.0
9781,2026-04-18 00:07:40+00:00,2026-04-18T00:07:40Z,P003,Leche,4,1.8,7.2
16049,2026-04-18 00:07:58+00:00,2026-04-18T00:07:58Z,P001,Café,3,2.5,7.5
6761,2026-04-18 00:08:00+00:00,2026-04-18T00:08:00Z,P002,Pan,2,1.2,2.4
19225,2026-04-18 00:08:00+00:00,2026-04-18T00:08:00Z,P006,Queso,1,4.5,4.5
14618,2026-04-18 00:08:05+00:00,2026-04-18T00:08:05Z,P006,Queso,2,4.5,9.0
10788,2026-04-18 00:08:34+00:00,2026-04-18T00:08:34Z,P003,Leche,1,1.8,1.8
13177,2026-04-18 00:08:42+00:00,2026-04-18T00:08:42Z,P004,Huevos,1,3.9,3.9
4833,2026-04-18 00:08:49+00:00,2026-04-18T00:08:49Z,P008,Jugo,2,2.9,5.8
15925,2026-04-18 00:09:08+00:00,2026-04-18T00:09:08Z,P003,Leche,1,1.8,1.8
8261,2026-04-18 00:09:15+00:00,2026-04-18T00:09:15Z,P002,Pan,1,1.2,1.2
4663,2026-04-18 00:09:31+00:00,2026-04-18T00:09:31Z,P007,Galletas,1,1.6,1.6
11472,2026-04-18 00:09:46+00:00,2026-04-18T00:09:46Z,P006,Queso,3,4.5,13.5
9629,2026-04-18 00:09:51+00:00,2026-04-18T00:09:51Z,P004,Huevos,1,3.9,3.9
11970,2026-04-18 00:10:08+00:00,2026-04-18T00:10:08Z,P002,Pan,1,1.2,1.2
7805,2026-04-18 00:10:10+00:00,2026-04-18T00:10:10Z,P005,Arroz,2,2.1,4.2
15964,2026-04-18 00:10:33+00:00,2026-04-18T00:10:33Z,P005,Arroz,1,2.1,2.1
11745,2026-04-18 00:10:41+00:00,2026-04-18T00:10:41Z,P008,Jugo,2,2.9,5.8
17760,2026-04-18 00:10:56+00:00,2026-04-18T00:10:56Z,P007,Galletas,2,1.6,3.2
3412,2026-04-18 00:11:02+00:00,2026-04-18T00:11:02Z,P003,Leche,1,1.8,1.8
